版本 1.0.1 更新内容：
9ae534a 2025-08-03 CrazySpottedDove 添加版本号
52c00ea 2025-08-03 CrazySpottedDove 修复了爵士格挡蝎子时卡死的问题
88acea9 2025-08-03 CrazySpottedDove 略微削弱毁灭者的产仔能力
e7cd79e 2025-08-03 CrazySpottedDove 添加了三代敌人和防御塔的提示
ee55541 2025-08-02 CrazySpottedDove 添加了二代敌人和防御塔的提示
55c6517 2025-08-02 CrazySpottedDove 略微提升螃蟹出土的眩晕时间
02a86f7 2025-08-02 CrazySpottedDove 进一步提升雷神触发连锁闪电的概率
84560db 2025-08-02 CrazySpottedDove 使博林在满级时解锁霰弹射击技能;使小公主获得技能冷却成长
0975e07 2025-08-02 CrazySpottedDove 狂法爆炸升级恢复原价
76fb535 2025-08-02 CrazySpottedDove 一级钻头恢复原价
ef26625 2025-08-02 CrazySpottedDove 修复林恩的大招有时对空中单位释放会空的问题
4caf099 2025-08-02 CrazySpottedDove 优化了塞莉恩的大招索敌
398cb07 2025-08-02 CrazySpottedDove 下调了变羊的加速效果
a798d16 2025-08-02 CrazySpottedDove 修复蕾琳强化普攻范围伤害丢失的问题
85da2fd 2025-08-02 CrazySpottedDove 修复卢克蕾齐娅走太空步的问题
fa16144 2025-08-02 CrazySpottedDove 修复大蜘蛛残血状态下生出的小蜘蛛生命值异常的问题
5bb9d69 2025-08-02 CrazySpottedDove 修复了不当的路径点缓存
d42b2f2 2025-08-02 CrazySpottedDove 提升了老兵模式下后期的加速效果
906861b 2025-08-02 CrazySpottedDove 修复墓地不再生效的问题
851eb97 2025-08-02 CrazySpottedDove 修复部分极端情况蕾琳会卡死的问题
8a152a4 2025-08-02 CrazySpottedDove 提高了蕾琳的护甲(哪有大黑骑是中甲的)
2b80060 2025-08-02 CrazySpottedDove 修复艾莉丹远程普攻动画异常的问题
73be5da 2025-08-01 CrazySpottedDove 修复有时查看路径会导致崩溃的问题
bd6837e 2025-08-01 CrazySpottedDove 添加英雄：蕾林
48c66bc 2025-08-01 CrazySpottedDove 上调塞莉恩裂缝的减速至20%
61db4de 2025-08-01 CrazySpottedDove 修复了但丁的虚影攻击空中单位出错的问题
d967352 2025-08-01 CrazySpottedDove 优化了时间裂隙的释放时机和动画表现
52be1f8 2025-08-01 CrazySpottedDove 使塞莉恩普攻附带10%增伤，裂缝附带10%减速
